YEAR,STATE,COUNTY,PARTY,VOTES
2024,AL,Autauga County,Republican,20447
2024,AL,Autauga County,Democratic,7429
2024,AL,Baldwin County,Republican,95144
2024,AL,Baldwin County,Democratic,24763
2024,AL,Barbour County,Republican,5578
2024,AL,Barbour County,Democratic,4120
2024,AL,Bibb County,Republican,7563
2024,AL,Bibb County,Democratic,1617
2024,AL,Blount County,Republican,25271
2024,AL,Blount County,Democratic,2569
2024,AL,Bullock County,Republican,1099
2024,AL,Bullock County,Democratic,2983
2024,AL,Butler County,Republican,5167
2024,AL,Butler County,Democratic,3248
2024,AL,Calhoun County,Republican,34841
2024,AL,Calhoun County,Democratic,13170
2024,AL,Chambers County,Republican,8704
2024,AL,Chambers County,Democratic,5402
2024,AL,Cherokee County,Republican,11342
2024,AL,Cherokee County,Democratic,1550
2024,AL,Chilton County,Republican,16901
2024,AL,Chilton County,Democratic,2697
2024,AL,Choctaw County,Republican,4094
2024,AL,Choctaw County,Democratic,2511
2024,AL,Clarke County,Republican,6956
2024,AL,Clarke County,Democratic,4917
2024,AL,Clay County,Republican,5693
2024,AL,Clay County,Democratic,986
2024,AL,Cleburne County,Republican,6984
2024,AL,Cleburne County,Democratic,605
2024,AL,Coffee County,Republican,17457
2024,AL,Coffee County,Democratic,4585
2024,AL,Colbert County,Republican,19614
2024,AL,Colbert County,Democratic,7092
2024,AL,Conecuh County,Republican,3423
2024,AL,Conecuh County,Democratic,2580
2024,AL,Coosa County,Republican,3750
2024,AL,Coosa County,Democratic,1475
2024,AL,Covington County,Republican,14664
2024,AL,Covington County,Democratic,2309
2024,AL,Crenshaw County,Republican,4993
2024,AL,Crenshaw County,Democratic,1453
2024,AL,Cullman County,Republican,38669
2024,AL,Cullman County,Democratic,4033
2024,AL,Dale County,Republican,14473
2024,AL,Dale County,Democratic,4478
2024,AL,Dallas County,Republican,5188
2024,AL,Dallas County,Democratic,10233
2024,AL,DeKalb County,Republican,25631
2024,AL,DeKalb County,Democratic,3757
2024,AL,Elmore County,Republican,31336
2024,AL,Elmore County,Democratic,9764
2024,AL,Escambia County,Republican,10866
2024,AL,Escambia County,Democratic,3956
2024,AL,Etowah County,Republican,35470
2024,AL,Etowah County,Democratic,9969
2024,AL,Fayette County,Republican,7154
2024,AL,Fayette County,Democratic,1141
2024,AL,Franklin County,Republican,10404
2024,AL,Franklin County,Democratic,1566
2024,AL,Geneva County,Republican,10924
